instance,n,m,r,s,t,answer,solver,time_ms,error
increase-n20-1,20,80,11,21,15,-1,unreachable,0,
increase-n20-2,20,129,11,21,40,5,dag,0,
increase-n20-3,20,99,13,10,4,-1,unreachable,0,
increase-n50-1,50,641,21,15,6,-1,unreachable,0,
increase-n50-2,50,537,23,32,79,5,dag,2,
increase-n50-3,50,648,27,20,67,4,dag,2,
increase-n100-1,100,2642,53,98,72,-1,unreachable,0,
increase-n100-2,100,2551,48,7,175,13,dag,5,
increase-n100-3,100,2213,51,185,76,-1,unreachable,0,
increase-n500-1,500,62600,258,267,663,16,dag,79,
increase-n500-2,500,64522,251,356,707,17,dag,39,
increase-n500-3,500,61751,255,98,537,16,dag,55,
rusty-1-17,17,21,1,begin,ender,1,fallback,0,
rusty-1-2000,2000,2001,1,begin,ender,-1,unreachable,0,
rusty-1-2500,2500,3134,1,begin,ender,-1,unreachable,0,
rusty-1-3000,3000,4444,1,begin,ender,?!,?!,91,node budget exhausted in many_general_fallback
rusty-1-3500,3500,5974,1,begin,ender,1,fallback,61,
rusty-1-4000,4000,7744,1,begin,ender,?!,?!,67,maximum recursion depth exceeded
rusty-1-4500,4500,9900,1,begin,ender,?!,?!,84,maximum recursion depth exceeded
rusty-1-5000,5000,12060,1,begin,ender,?!,?!,88,maximum recursion depth exceeded
rusty-1-5757,5757,15945,1,begin,ender,?!,?!,95,maximum recursion depth exceeded
rusty-2-2000,2000,20422,1,begin,ender,1,fallback,132,
rusty-2-2500,2500,32004,1,begin,ender,1,fallback,187,
rusty-2-3000,3000,45332,1,begin,ender,?!,?!,281,maximum recursion depth exceeded
rusty-2-3500,3500,61442,1,begin,ender,?!,?!,372,maximum recursion depth exceeded
rusty-2-4000,4000,79432,1,begin,ender,?!,?!,433,maximum recursion depth exceeded
rusty-2-4500,4500,101086,1,begin,ender,?!,?!,675,maximum recursion depth exceeded
rusty-2-5000,5000,123432,1,begin,ender,?!,?!,815,maximum recursion depth exceeded
rusty-2-5757,5757,163671,1,begin,ender,?!,?!,1203,maximum recursion depth exceeded
ski-illustration,36,49,1,0,36,1,dag,0,
ski-level3-1,16,21,5,0,15,3,dag,0,
ski-level3-2,14,18,4,0,14,1,dag,0,
ski-level3-3,15,16,3,0,15,1,dag,0,
ski-level5-1,29,34,8,0,28,3,dag,0,
ski-level5-2,26,32,5,0,27,2,dag,0,
ski-level5-3,27,30,0,0,27,0,dag,0,
ski-level10-1,79,107,23,0,78,-1,unreachable,0,
ski-level10-2,76,98,7,0,77,4,dag,0,
